name,Black,Hispanic,Asian,Other,White,Native American,Male,Female,type,category
Bio Honors,5,5,10,0,6,0,10,16,Honors,STEM
Bio Honors (2),1,3,15,0,6,0,7,18,Honors,STEM
Bio Med,5,6,13,0,6,0,9,21,Regular,STEM
Bio Med (1),6,8,9,1,7,0,10,21,Regular,STEM
Bio Med (2),9,7,7,0,8,0,11,20,Regular,STEM
Calculus,11,6,7,0,6,1,17,14,Regular,STEM
Calculus (2),7,4,5,0,6,0,11,11,Regular,STEM
Calculus (3),7,8,8,0,7,0,11,19,Regular,STEM
Calculus (4),7,6,9,0,7,0,9,20,Regular,STEM
Calculus (5),10,5,5,0,10,0,13,17,Regular,STEM
Chemistry 1 Honors (2),9,4,10,1,4,1,7,22,Honors,STEM
Chinese 1,5,8,8,1,1,0,13,10,Regular,Language
Chinese 1 (2),3,10,6,0,7,0,10,16,Regular,Language
Chinese 1 (3),5,11,9,1,3,0,16,13,Regular,Language
Chinese 1 (4),4,11,6,0,7,0,12,16,Regular,Language
Chinese 1 (5),4,11,6,0,7,0,12,16,Regular,Language
Chinese 2,2,4,8,1,2,0,10,7,Regular,Language
Chinese 2(2),2,4,8,1,2,0,10,7,Regular,Language
Chinese 3,0,1,19,0,0,0,11,9,Regular,Language
Chinese 3 (2),3,1,19,0,0,0,11,12,Regular,Language
Chinese 4,4,3,14,0,0,0,6,15,Regular,Language
Chinese 4 (2),4,3,14,0,0,0,6,15,Regular,Language
MS Band 2 (Various Sections),8,19,4,1,15,0,27,20,Regular,Arts
Economics,7,10,4,1,8,0,17,13,Regular,Humanities
Economics (2),6,10,3,0,6,0,14,11,Regular,Humanities
Economics (3),9,7,2,0,8,0,21,6,Regular,Humanities
French 1,7,4,4,2,13,0,10,20,Regular,Language
French 1 (2),7,15,4,1,4,0,12,19,Regular,Language
French 2 (2) ,4,9,9,1,6,0,9,20,Regular,Language
French 2 Honors ,4,9,8,0,10,0,4,27,Honors,Language
French 2,4,6,6,1,4,0,6,15,Regular,Language
French 3,6,7,1,1,11,0,9,17,Regular,Language
French 3(2),6,7,3,0,6,0,9,13,Regular,Language
French 3 Honors,5,11,4,2,9,0,5,26,Honors,Language
French 4 (2),8,6,1,1,5,0,8,13,Regular,Language
French 4,10,4,3,0,4,0,5,16,Regular,Language
Geometry Honors,1,5,17,0,7,0,10,20,Honors,STEM
Geometry Honors (2),5,9,6,0,5,0,11,14,Honors,STEM
Greek 1,9,5,7,0,5,0,10,16,Regular,Language
HS Orchestra (2),3,2,4,1,0,0,3,7,Regular,Arts
HS Orchestra (3) ,5,6,9,1,2,0,7,16,Regular,Arts
HS Orchestra (4) ,2,3,5,1,2,0,1,12,Regular,Arts
HS Orchestra ,5,4,7,2,3,0,7,14,Regular,Arts
Interactive Media ,6,9,8,0,7,0,16,14,Regular,Arts
Interactive Media (2),12,6,5,0,6,0,19,10,Regular,Arts
Interactive Media (3),3,5,10,0,11,0,16,13,Regular,Arts
International Relations,11,8,2,0,8,0,11,18,Regular,Humanities
International Relations (2),8,9,2,0,10,1,14,16,Regular,Humanities
Japanese 1,4,4,12,2,9,,20,11,Regular,Language
Japanese 1,3,10,13,1,4,0,16,15,Regular,Language
Japanese 3,2,3,15,2,2,0,16,8,Regular,Language
Japanese 3 (2),1,4,10,1,7,0,14,9,Regular,Language
Japanese 4,1,3,10,1,5,0,9,11,Regular,Language
Japanese 4 (2),3,8,6,1,9,0,13,14,Regular,Language
Japanese 4 Honors,5,3,9,0,2,0,7,12,Honors,Language
Latin 2 Honors,3,7,10,0,8,0,9,19,Honors,Language
Latin 2 Honors (1),7,3,12,0,2,0,7,17,Honors,Language
Latin 3 Honors,4,11,9,1,4,0,18,11,Honors,Language
Latin 3 Honors(2),5,3,10,1,5,0,14,10,Honors,Language
Latin 3 Honors(3),10,8,4,1,9,0,16,16,Honors,Language
Latin Poetry Honors,11,10,0,0,11,0,18,14,Honors,Language
Myth Tradition,4,7,10,0,3,0,13,11,Regular,Humanities
Precalculus Honors(2),6,2,16,0,1,0,8,17,Honors,STEM
Precalculus Honors(3),6,7,7,0,5,0,13,12,Honors,STEM
Research and Activisim for Change (2),12,7,3,0,4,0,8,18,Regular,Humanities
Research and Activism for Change,9,1,4,0,7,0,7,14,Regular,Humanities
Sociology,5,5,4,0,7,1,1,21,Regular,Humanities
Sociology (2),10,7,5,0,8,0,8,22,Regular,Humanities
Spanish 1 (5),7,8,5,0,11,0,12,19,Regular,Language
Spanish 1 ,10,6,3,2,9,0,13,17,Regular,Language
Spanish 1 (6),8,11,8,1,3,0,14,17,Regular,Language
Spanish 2 (5),5,4,4,0,12,0,8,17,Regular,Language
Spanish 1(2),8,8,4,1,9,0,13,17,Regular,Language
Spanish 1 (3),5,9,1,2,12,0,16,13,Regular,Language
Spanish 1 (4),6,10,4,0,9,0,11,18,Regular,Language
Spanish 2,3,8,5,1,8,0,11,14,Regular,Language
Spanish 2 (6),9,4,8,0,10,0,18,13,Regular,Language
Spanish 2 (2),5,5,3,2,12,0,16,11,Regular,Language
Spanish 2 (4),3,4,7,0,10,0,8,16,Regular,Language
Spanish 2(3),3,4,5,0,10,0,12,10,Regular,Language
Spanish 3 (3),9,4,3,0,8,0,7,17,Regular,Language
Spanish 3 (2),4,2,3,0,13,0,11,11,Regular,Language
Spanish 3 (4),7,6,8,0,8,0,15,14,Regular,Language
Spanish 3 Honors,6,10,1,3,11,0,15,16,Honors,Language
Spanish 4,7,7,4,3,10,1,15,17,Regular,Language
Spanish 4 (2),5,9,4,1,12,0,18,13,Regular,Language
Spanish 4 (3),4,7,8,0,9,2,12,18,Regular,Language
Studio Art 1 ,7,10,8,1,5,0,9,22,Regular,Arts
Studio Art 1 (2),8,8,4,1,11,0,7,25,Regular,Arts
Symphonic Band HS,5,6,9,2,9,0,17,14,Regular,Arts
